"ensembl_gene_id"	"external_gene_name"	"hgnc_symbol"	"mgi_symbol"
"364"	"ENSMUSG00000026241"	"Nppc"	""	"Nppc"
"365"	"ENSMUSG00000026245"	"Farsb"	""	"Farsb"
"366"	"ENSMUSG00000026246"	"Alppl2"	""	"Alppl2"
"367"	"ENSMUSG00000026247"	"Ecel1"	""	"Ecel1"
"368"	"ENSMUSG00000026248"	"Mrpl44"	""	"Mrpl44"
"369"	"ENSMUSG00000026249"	"Serpine2"	""	"Serpine2"
"370"	"ENSMUSG00000026251"	"Chrnd"	""	"Chrnd"
"371"	"ENSMUSG00000026253"	"Chrng"	""	"Chrng"
"372"	"ENSMUSG00000026254"	"Eif4e2"	""	"Eif4e2"
"373"	"ENSMUSG00000026255"	"Efhd1"	""	"Efhd1"
"374"	"ENSMUSG00000026258"	"Snorc"	""	"Snorc"
"375"	"ENSMUSG00000026259"	"Ngef"	""	"Ngef"
"376"	"ENSMUSG00000026260"	"Ndufa10"	""	"Ndufa10"
"377"	"ENSMUSG00000026269"	"Rnpepl1"	""	"Rnpepl1"
"378"	"ENSMUSG00000026270"	"Capn10"	""	"Capn10"
"379"	"ENSMUSG00000026271"	"Gpr35"	""	"Gpr35"
"380"	"ENSMUSG00000026272"	"Agxt"	""	"Agxt"
"381"	"ENSMUSG00000026273"	"Mterf4"	""	"Mterf4"
"382"	"ENSMUSG00000026274"	"Pask"	""	"Pask"
"383"	"ENSMUSG00000026275"	"Ppp1r7"	""	"Ppp1r7"
"384"	"ENSMUSG00000026276"	"Septin2"	""	"Septin2"
